Rank,Player Name,HOF Probability,Points,Rebounds,Assists,Steals,Blocks,PER,VORP,MVP,Champ,DPOY
48,Emily,0.92,14520,7865,1983,889,653,17.5,3.9,0,0,0
49,Ella,0.25,17473,10390,2937,1322,967,18.9,4.6,0,0,0
50,Scarlett,0.679,31298,13701,4051,1862,1362,21.3,6.7,0,0,2
51,Lincoln,0.111,11550,7593,2225,994,728,17.8,4.0,0,0,0
52,John,0.426,25166,11086,3485,1569,1149,19.5,4.9,0,0,0
53,Lucas,0.654,7624,3402,1499,680,499,16.9,2.7,0,0,0
54,Joseph,0.795,8975,4305,1575,712,523,17.1,3.6,0,0,0
55,Oliver,0.233,18294,10643,2602,1171,859,18.5,4.4,0,0,0
56,Daniel,0.662,29546,12802,3906,1753,1285,20.7,6.2,0,0,0
57,Alexander,0.812,37922,14096,4842,2223,1629,23.1,8.3,0,0,0
58,Emily,0.244,23967,9802,3278,1474,1081,18.9,4.6,0,0,0
59,Nicholas,0.975,30105,14223,4539,2084,1527,21.0,6.4,0,0,0
60,Michael,0.622,28808,12965,4159,1901,1394,21.2,6.6,0,0,0
61,Ava,0.759,22304,8880,3141,1411,1034,18.7,4.5,0,0,0
62,Emma,0.345,19108,9075,2835,1277,937,18.4,4.3,0,0,0
63,Abigail,0.555,27173,12349,3802,1711,1253,20.0,6.0,2,0,0
64,Emily,0.234,27175,10024,3662,1645,1206,19.3,4.8,0,0,0
65,Evelyn,0.834,22876,11298,3530,1588,1163,19.0,4.7,0,3,0
66,Grace,0.213,17438,8605,2507,1135,832,17.2,3.7,0,0,0
67,Sofia,0.769,27387,12984,3772,1706,1251,20.1,6.1,0,0,0
68,Mia,0.982,13291,9341,3184,1429,1048,18.5,4.4,0,0,0
69,Amelia,0.654,27642,11476,4026,1822,1336,21.4,6.9,0,0,0
70,Elizabeth,0.543,35311,13509,4638,2134,1564,22.2,7.4,0,0,0
71,Charlotte,0.234,38317,13953,5152,2372,1739,23.6,8.7,0,0,0
72,Isabella,0.789,9854,7209,1834,827,606,17.0,3.5,0,0,0
73,Aria,0.43,17650,11255,2531,1142,838,17.9,4.1,0,0,0
74,Sophia,0.731,39483,14517,4984,2297,1687,24.6,8.9,0,0,0
75,Ella,0.948,37699,14587,4853,2232,1636,23.7,8.8,0,0,0
76,Scarlett,0.567,7501,3714,1313,589,431,16.8,2.6,0,0,0
77,Mila,0.342,25710,10361,3651,1651,1209,19.6,5.0,0,0,0
78,Luna,0.899,12996,8912,1978,891,653,17.5,3.9,0,0,0
79,Avery,0.231,34532,13783,4692,2154,1579,21.8,7.1,0,0,0
80,Harper,0.789,11280,6894,1754,793,583,17.0,3.5,0,0,0
